YEAR,NEIGHBORHOOD_CLUSTER,OFFENSE,SHIFT,NUMBER_OF_CRIMES
2008,Cluster 31,THEFT/OTHER,MIDNIGHT,46
2008,Cluster 32,ARSON,EVENING,1
2008,Cluster 32,ARSON,MIDNIGHT,1
2008,Cluster 32,ASSAULT W/DANGEROUS WEAPON,EVENING,49
2008,Cluster 32,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,45
2008,Cluster 32,ASSAULT W/DANGEROUS WEAPON,DAY,17
2008,Cluster 32,BURGLARY,EVENING,41
2008,Cluster 32,BURGLARY,DAY,26
2008,Cluster 32,BURGLARY,MIDNIGHT,20
2008,Cluster 32,HOMICIDE,MIDNIGHT,8
2008,Cluster 32,MOTOR VEHICLE THEFT,DAY,98
2008,Cluster 32,MOTOR VEHICLE THEFT,EVENING,87
2008,Cluster 32,MOTOR VEHICLE THEFT,MIDNIGHT,44
2008,Cluster 32,ROBBERY,MIDNIGHT,38
2008,Cluster 32,ROBBERY,EVENING,37
2008,Cluster 32,ROBBERY,DAY,20
2008,Cluster 32,SEX ABUSE,MIDNIGHT,3
2008,Cluster 32,SEX ABUSE,DAY,1
2008,Cluster 32,THEFT/OTHER,DAY,138
2008,Cluster 32,THEFT/OTHER,EVENING,128
2008,Cluster 32,THEFT/OTHER,MIDNIGHT,53
2008,Cluster 33,ARSON,EVENING,2
2008,Cluster 33,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,48
